Producto,Mercado,Week_Start_Date,Latitude,Longitude,Precio_Unidad
Cebolla,Terminal Hortofrutícola Agro Chillán,2022-08-22,-36.57060167406145,-72.09974646092063,606.6666666666666
Cebolla,Terminal Hortofrutícola Agro Chillán,2022-08-29,-36.57060167406145,-72.09974646092063,743.8888888888889
Cebolla,Terminal Hortofrutícola Agro Chillán,2022-09-05,-36.57060167406145,-72.09974646092063,698.8888888888889
Cebolla,Terminal Hortofrutícola Agro Chillán,2022-09-12,-36.57060167406145,-72.09974646092063,698.8888888888889
Cebolla,Terminal Hortofrutícola Agro Chillán,2022-09-19,-36.57060167406145,-72.09974646092063,500.0
Cebolla,Terminal Hortofrutícola Agro Chillán,2022-09-26,-36.57060167406145,-72.09974646092063,738.3333333333333
Cebolla,Terminal Hortofrutícola Agro Chillán,2022-10-03,-36.57060167406145,-72.09974646092063,851.8518518518518
Cebolla,Terminal Hortofrutícola Agro Chillán,2022-10-10,-36.57060167406145,-72.09974646092063,818.0555555555555
Cebolla,Terminal Hortofrutícola Agro Chillán,2022-10-17,-36.57060167406145,-72.09974646092063,583.3333333333334
Cebolla,Terminal Hortofrutícola Agro Chillán,2022-10-24,-36.57060167406145,-72.09974646092063,638.8888888888889
Cebolla,Terminal Hortofrutícola Agro Chillán,2022-10-31,-36.57060167406145,-72.09974646092063,750.0
Cebolla,Terminal Hortofrutícola Agro Chillán,2022-11-07,-36.57060167406145,-72.09974646092063,211.0
Cebolla,Terminal Hortofrutícola Agro Chillán,2022-11-14,-36.57060167406145,-72.09974646092063,255.0
Cebolla,Terminal Hortofrutícola Agro Chillán,2022-11-21,-36.57060167406145,-72.09974646092063,638.8888888888889
Cebolla,Terminal Hortofrutícola Agro Chillán,2022-11-28,-36.57060167406145,-72.09974646092063,694.4444444444445
Cebolla,Terminal Hortofrutícola Agro Chillán,2022-12-26,-36.57060167406145,-72.09974646092063,583.3333333333334
Cebolla,Terminal Hortofrutícola Agro Chillán,2023-01-02,-36.57060167406145,-72.09974646092063,513.8888888888889
Cebolla,Terminal Hortofrutícola Agro Chillán,2023-01-09,-36.57060167406145,-72.09974646092063,510.4166666666667
Cebolla,Terminal Hortofrutícola Agro Chillán,2023-01-16,-36.57060167406145,-72.09974646092063,583.3333333333334
Cebolla,Terminal Hortofrutícola Agro Chillán,2023-01-23,-36.57060167406145,-72.09974646092063,486.1111111111111
Cebolla,Terminal Hortofrutícola Agro Chillán,2023-01-30,-36.57060167406145,-72.09974646092063,486.1111111111111
Cebolla,Terminal Hortofrutícola Agro Chillán,2023-02-06,-36.57060167406145,-72.09974646092063,458.3333333333333
Cebolla,Terminal Hortofrutícola Agro Chillán,2023-02-13,-36.57060167406145,-72.09974646092063,497.2222222222222
Cebolla,Terminal Hortofrutícola Agro Chillán,2023-02-20,-36.57060167406145,-72.09974646092063,458.3333333333333
Cebolla,Terminal Hortofrutícola Agro Chillán,2023-02-27,-36.57060167406145,-72.09974646092063,458.3333333333333
Cebolla,Terminal Hortofrutícola Agro Chillán,2023-03-06,-36.57060167406145,-72.09974646092063,458.3333333333333
